,Shots X coordinates,Shots Y coordinates,Goals X coordinates,Goals Y coordinates
0,63.0,-6.0,85.0,-1.0
1,78.0,-5.0,83.0,6.0
2,47.0,23.0,72.0,2.0
3,83.0,-4.0,33.0,22.0
4,67.0,-20.0,78.0,3.0
5,47.0,-36.0,53.0,34.0
6,56.0,28.0,56.0,-21.0
7,50.0,22.0,79.0,-2.0
8,67.0,-36.0,63.0,-17.0
9,43.0,32.0,78.0,-3.0
10,30.0,-16.0,85.0,7.0
11,31.0,-30.0,72.0,0.0
12,60.0,24.0,74.0,-21.0
13,43.0,-0.0,76.0,9.0
14,55.0,28.0,78.0,4.0
15,70.0,-38.0,83.0,-7.0
16,5.0,-17.0,73.0,22.0
17,2.0,31.0,72.0,2.0
18,64.0,-10.0,65.0,1.0
19,85.0,30.0,76.0,4.0
20,38.0,-24.0,77.0,18.0
21,64.0,28.0,71.0,-12.0
22,48.0,28.0,78.0,27.0
23,78.0,-10.0,60.0,-16.0
24,76.0,-4.0,81.0,7.0
25,78.0,2.0,75.0,18.0
26,69.0,-22.0,81.0,7.0
27,84.0,-18.0,74.0,-1.0
28,61.0,22.0,82.0,6.0
29,81.0,-17.0,83.0,-5.0
30,29.0,13.0,72.0,-1.0
31,36.0,-26.0,52.0,19.0
32,66.0,-19.0,84.0,5.0
33,74.0,-11.0,73.0,3.0
34,76.0,-6.0,44.0,-36.0
35,47.0,-28.0,81.0,5.0
36,34.0,3.0,85.0,-16.0
37,76.0,-12.0,75.0,-13.0
38,39.0,-23.0,81.0,-1.0
39,49.0,35.0,80.0,1.0
40,79.0,-1.0,65.0,-15.0
41,60.0,1.0,76.0,-14.0
42,49.0,16.0,,
43,67.0,-13.0,,
44,79.0,-20.0,,
45,49.0,9.0,,
46,67.0,-1.0,,
47,50.0,-35.0,,
48,88.0,-6.0,,
49,31.0,-25.0,,
50,50.0,-29.0,,
51,50.0,-22.0,,
52,32.0,-24.0,,
53,87.0,9.0,,
54,80.0,-2.0,,
55,32.0,38.0,,
56,77.0,-2.0,,
57,80.0,-14.0,,
58,46.0,-6.0,,
59,36.0,-12.0,,
60,69.0,-2.0,,
61,31.0,-28.0,,
62,67.0,-26.0,,
63,84.0,-37.0,,
64,60.0,26.0,,
65,71.0,-16.0,,
66,61.0,-20.0,,
67,77.0,4.0,,
68,82.0,6.0,,
69,68.0,40.0,,
70,82.0,6.0,,
71,69.0,-21.0,,
72,33.0,24.0,,
73,31.0,34.0,,
74,50.0,26.0,,
75,85.0,-13.0,,
76,78.0,22.0,,
77,64.0,38.0,,
78,82.0,7.0,,
79,72.0,9.0,,
80,81.0,-2.0,,
81,69.0,-1.0,,
82,32.0,-29.0,,
83,54.0,-11.0,,
84,74.0,3.0,,
85,37.0,-10.0,,
86,31.0,38.0,,
87,65.0,-12.0,,
88,80.0,2.0,,
89,81.0,4.0,,
90,71.0,19.0,,
91,45.0,-25.0,,
92,75.0,3.0,,
93,82.0,-6.0,,
94,75.0,-18.0,,
95,64.0,-41.0,,
96,41.0,7.0,,
97,67.0,-12.0,,
98,71.0,12.0,,
99,78.0,-0.0,,
100,34.0,12.0,,
101,81.0,-9.0,,
102,79.0,7.0,,
103,87.0,9.0,,
104,56.0,-11.0,,
105,63.0,-24.0,,
106,82.0,-6.0,,
107,59.0,-32.0,,
108,52.0,6.0,,
109,47.0,0.0,,
110,49.0,1.0,,
111,75.0,-18.0,,
112,37.0,19.0,,
113,49.0,-0.0,,
114,48.0,3.0,,
115,39.0,-24.0,,
116,34.0,19.0,,
117,40.0,-15.0,,
118,68.0,11.0,,
119,77.0,-0.0,,
120,51.0,6.0,,
121,64.0,5.0,,
122,73.0,-4.0,,
123,75.0,20.0,,
124,67.0,9.0,,
125,85.0,-18.0,,
126,53.0,-23.0,,
127,73.0,-19.0,,
128,84.0,12.0,,
129,85.0,-12.0,,
130,83.0,-4.0,,
131,74.0,-9.0,,
132,54.0,18.0,,
133,59.0,-14.0,,
134,60.0,-14.0,,
135,74.0,6.0,,
136,84.0,22.0,,
137,31.0,-12.0,,
138,99.0,-10.0,,
139,73.0,-20.0,,
140,68.0,12.0,,
141,37.0,32.0,,
142,66.0,-13.0,,
143,83.0,-8.0,,
144,68.0,-12.0,,
145,78.0,-5.0,,
146,76.0,-4.0,,
147,60.0,-2.0,,
148,19.0,-36.0,,
149,72.0,11.0,,
150,86.0,-7.0,,
151,70.0,12.0,,
152,68.0,14.0,,
153,51.0,-31.0,,
154,83.0,-28.0,,
155,39.0,-26.0,,
156,48.0,-23.0,,
157,36.0,-25.0,,
158,72.0,-7.0,,
159,72.0,2.0,,
160,39.0,31.0,,
161,42.0,35.0,,
162,84.0,4.0,,
163,71.0,16.0,,
164,60.0,-33.0,,
165,26.0,-37.0,,
166,3.0,-8.0,,
167,38.0,1.0,,
168,81.0,-31.0,,
169,51.0,-15.0,,
170,58.0,31.0,,
171,58.0,-3.0,,
172,62.0,-20.0,,
173,52.0,-3.0,,
174,33.0,16.0,,
175,75.0,10.0,,
176,67.0,-28.0,,
177,73.0,5.0,,
178,82.0,-3.0,,
179,50.0,-27.0,,
180,30.0,-22.0,,
181,21.0,2.0,,
182,72.0,13.0,,
183,60.0,14.0,,
184,62.0,2.0,,
185,33.0,-12.0,,
186,68.0,36.0,,
187,60.0,-8.0,,
188,83.0,-9.0,,
189,38.0,-9.0,,
190,56.0,22.0,,
191,73.0,-16.0,,
192,36.0,-15.0,,
193,78.0,-20.0,,
194,15.0,-37.0,,
195,37.0,-31.0,,
196,19.0,-40.0,,
197,81.0,-5.0,,
198,17.0,9.0,,
199,5.0,34.0,,
200,62.0,-31.0,,
201,85.0,-6.0,,
202,80.0,-4.0,,
203,47.0,27.0,,
204,82.0,5.0,,
205,62.0,34.0,,
206,86.0,-8.0,,
207,86.0,-8.0,,
208,70.0,-4.0,,
209,45.0,19.0,,
210,48.0,33.0,,
211,89.0,30.0,,
212,35.0,-30.0,,
213,38.0,-32.0,,
214,66.0,-24.0,,
215,35.0,28.0,,
216,79.0,-9.0,,
217,82.0,7.0,,
218,69.0,-25.0,,
219,77.0,-1.0,,
220,56.0,-37.0,,
221,31.0,-34.0,,
222,75.0,-3.0,,
223,76.0,15.0,,
224,55.0,-33.0,,
225,40.0,31.0,,
226,43.0,-7.0,,
227,80.0,12.0,,
228,31.0,-10.0,,
229,74.0,-2.0,,
230,37.0,34.0,,
231,78.0,4.0,,
232,75.0,8.0,,
233,76.0,-7.0,,
234,78.0,-0.0,,
235,51.0,23.0,,
236,70.0,16.0,,
237,43.0,25.0,,
238,82.0,16.0,,
239,70.0,10.0,,
240,28.0,-10.0,,
241,32.0,-25.0,,
242,80.0,-0.0,,
243,82.0,3.0,,
244,55.0,-34.0,,
245,41.0,-35.0,,
246,39.0,20.0,,
247,78.0,-7.0,,
248,57.0,-23.0,,
249,70.0,-2.0,,
250,63.0,17.0,,
251,37.0,-25.0,,
252,15.0,-22.0,,
253,41.0,29.0,,
254,35.0,20.0,,
255,45.0,-22.0,,
